Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CIO,City Office REIT Inc. Common Stock,$4.15,-0.08,-1.891%,165744572.00,Canada,2014,205282,Real Estate,Real Estate Investment Trusts
CLDT,Chatham Lodging Trust (REIT) Common Shares of Beneficial Interest,$9.50,0.07,0.742%,464159959.00,United States,2010,154625,Real Estate,Real Estate Investment Trusts
CLEU,China Liberal Education Holdings Limited Ordinary Shares,$0.173,0.00,0.00%,5466800.00,China,2020,202167,Real Estate,Other Consumer Services
CLPR,Clipper Realty Inc. Common Stock,$4.95,0.10,2.062%,79512979.00,United States,2017,32919,Real Estate,Real Estate Investment Trusts
CMCT,Creative Media & Community Trust Corporation Common stock,$4.05,0.00,0.00%,92286301.00,United States,,638,Real Estate,Real Estate Investment Trusts
CMTG,Claros Mortgage Trust Inc. Common Stock,$10.65,0.08,0.757%,1477460549.00,United States,2021,170501,Real Estate,Real Estate Investment Trusts
COE,51Talk Online Education Group American depositary shares each representing 60 Class A ordinary shares,$7.82,0.03,0.385%,44028711.00,China,2016,1487,Real Estate,Other Consumer Services
CORR,CorEnergy Infrastructure Trust Inc. Common Stock,$0.48,-0.02,-4.00%,7698045.00,United States,,58617,Real Estate,Real Estate Investment Trusts
CPT,Camden Property Trust Common Stock,$88.44,1.33,1.527%,9442845459.00,United States,1993,968506,Real Estate,Real Estate Investment Trusts
CSR,D/B/A Centerspace Common Stock,$51.32,0.22,0.431%,772496815.00,United States,,60872,Real Estate,Real Estate Investment Trusts
CTO,CTO Realty Growth Inc. Common Stock,$16.38,0.12,0.738%,371603953.00,United States,1992,58216,Real Estate,Real Estate Investment Trusts
CTRE,CareTrust REIT Inc. Common Stock,$22.22,0.73,3.397%,2210363030.00,United States,2022,2262404,Real Estate,Real Estate Investment Trusts
CUBE,CubeSmart Common Shares,$36.43,-0.17,-0.464%,8191684991.00,United States,,1925155,Real Estate,Real Estate Investment Trusts
CUZ,Cousins Properties Incorporated Common Stock,$18.57,0.11,0.596%,2818438983.00,United States,,1392307,Real Estate,Real Estate Investment Trusts
CXW,CoreCivic Inc. Common Stock,$13.63,-0.06,-0.438%,1548438072.00,United States,,830034,Real Estate,Real Estate Investment Trusts
DAO,Youdao Inc. American Depositary Shares each representing one Class A Ordinary Share,$4.29,0.16,3.874%,535371665.00,China,2019,41653,Real Estate,Other Consumer Services
DBRG,DigitalBridge Group Inc.,$15.58,0.27,1.764%,2545942118.00,United States,2014,1053235,Real Estate,Real Estate Investment Trusts
DEA,Easterly Government Properties Inc. Common Stock,$10.92,0.17,1.581%,1039594134.00,United States,2015,613779,Real Estate,Real Estate Investment Trusts
DEI,Douglas Emmett Inc. Common Stock,$11.30,0.05,0.444%,1884136349.00,United States,2006,1424870,Real Estate,Real Estate Investment Trusts
DHC,Diversified Healthcare Trust Common Shares of Beneficial Interest,$2.07,0.05,2.475%,497732222.00,United States,,894097,Real Estate,Real Estate Investment Trusts
